"id","weights","act_personal","act_household","act_carehhm","act_carenhm","act_work","act_school","act_groceries","act_ppservice","act_hhservice","act_admin","act_eating","act_leisure","act_sport","act_religious","act_volunteer","act_other","trv_personal","trv_household","trv_care_child","trv_care_adult","trv_work","trv_school","trv_groceries","trv_ppservice","trv_hhservice","trv_admin","trv_eating","trv_leisure","trv_sport","trv_religious","trv_volunteer","trv_other","act_buyfood","act_shopping","trv_buyfood","trv_shopping","trv_social","act","trv","budget","age","female","eldertime","childtime","children","youngest","spouse","spousework","work","multijob","FTjob","PTjob","worktime","school","weekend","holiday","metro","trv.eatout_w.spouse","trv.eating_w.spouse","trv.eating_w.hhchild","trv.social_w.hhchild","trv.shop_w.spouse","trv.groceries_w.spouse","trv.care_w.hhchild","trv.social_w.spouse","trv.food_w.spouse","trv.religious_w.spouse","trv.groceries_w.hhchild","trv.food_w.hhchild","trv.religious_w.hhchild","trv.care_w.spouse","trv.shop_w.hhchild","trv.care_w.elder","trv.care_w.nhchild","income","inc"
"20221010221819",23326468.346792,535,140,34,0,255,0,22,0,0,0,60,325,0,0,0,0,0,0,0,10,24,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1371,69,1440,54,1,0,447,1,12,0,0,1,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010221843",7599427.724457,600,20,0,0,0,0,0,0,0,0,15,755,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,73,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"$25,000 - $49,999"
"20221010221849",2823161.808813,665,150,0,0,0,0,45,0,0,0,70,450,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1380,60,1440,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"Less than $25,000"
"20221010221903",5401635.939899,690,480,0,0,0,0,0,0,0,0,30,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,73,1,0,0,0,0,0,0,1,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"$25,000 - $49,999"
"20221010221922",7881443.601547,540,180,0,0,0,0,0,0,0,0,30,490,0,0,0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,1430,10,1440,25,0,0,0,0,0,0,0,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Less than $25,000"
"20221010221934",2020457.247336,650,130,0,0,0,0,0,0,0,0,45,305,110,0,0,75,0,0,0,0,0,0,0,0,0,0,0,40,15,0,0,0,0,30,0,40,0,1345,95,1440,70,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20221010221951",5434325.761298,540,260,0,180,0,0,0,0,0,0,60,370,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,1410,30,1440,69,1,180,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"$25,000 - $49,999"
"20221010221961",11238084.789471,462,15,0,0,488,0,0,0,0,0,60,275,0,0,0,0,0,0,0,0,50,0,0,0,0,0,45,0,0,0,0,0,0,15,0,30,0,1315,125,1440,73,1,0,0,0,0,1,0,1,0,1,0,40,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,"$25,000 - $49,999"
"20221010221977",17809390.749777,481,75,0,0,354,0,0,0,0,0,5,480,0,0,0,0,0,15,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,45,1440,58,1,0,0,0,0,0,0,1,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,"$25,000 - $49,999"
"20221010221991",16300934.643471,663,110,0,0,0,0,0,90,0,0,15,420,90,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,1388,52,1440,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"Less than $25,000"
"20221010221993",9857811.792889,600,165,31,0,355,0,0,0,0,0,0,195,0,0,0,90,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1436,4,1440,35,1,0,375,2,6,1,1,1,0,0,1,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20221010222058",13407752.53864,485,270,0,0,90,0,30,0,0,0,60,385,0,70,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1390,50,1440,58,1,0,0,0,0,1,1,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222076",3664559.884188,570,105,90,0,0,0,0,0,0,0,150,300,30,0,0,155,0,0,30,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1400,40,1440,44,0,0,720,2,8,0,0,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20221010222077",8471233.917363,485,0,0,0,0,0,0,0,0,0,3,952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,36,0,0,0,0,0,1,1,1,0,1,0,40,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,"$75,000 - $99,999"
"20221010222081",19888111.272972,573,0,132,0,245,0,0,0,0,0,290,0,0,0,0,0,5,0,65,0,0,0,0,0,0,0,110,0,0,0,0,0,10,0,10,0,0,1250,190,1440,41,1,0,70,2,6,1,1,1,0,1,0,40,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"Over $150,000"
"20221010222103",2850094.532455,810,325,0,0,0,0,30,0,0,0,35,105,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,120,0,7,0,1425,15,1440,31,1,0,0,0,0,1,1,1,0,0,1,30,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222111",40284185.249453,465,25,0,0,480,0,0,75,0,0,150,60,0,75,0,0,0,0,0,0,20,0,0,25,0,0,40,0,0,25,0,0,0,0,0,0,0,1330,110,1440,63,0,0,0,0,0,1,0,1,0,1,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"$25,000 - $49,999"
"20221010222114",2505461.931637,720,20,0,0,0,0,0,0,0,0,60,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1390,50,1440,56,0,0,720,1,4,0,0,1,0,1,0,40,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222121",9748537.001694,720,320,0,0,0,0,0,0,0,0,40,291,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1431,9,1440,66,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222129",9877234.214223,580,0,0,0,0,470,0,0,0,0,60,300,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,66,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222141",16398167.16612,625,0,47,0,543,0,0,0,0,0,80,50,0,0,0,0,0,0,15,0,10,0,0,0,0,0,15,0,0,0,0,0,20,0,25,0,10,1365,75,1440,32,1,0,175,4,4,0,0,1,0,1,0,43,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,11,"$25,000 - $49,999"
"20221010222147",4254325.556543,950,165,0,0,0,0,30,0,0,0,30,200,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,20,0,0,0,0,0,30,0,10,0,1405,35,1440,79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"$25,000 - $49,999"
"20221010222158",19173167.293622,490,45,70,0,577,0,0,0,0,0,105,127,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1414,26,1440,41,0,0,247,1,1,1,0,1,0,1,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222167",3516247.318816,620,238,0,30,0,0,0,0,0,0,75,370,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,2,0,20,0,0,1405,35,1440,70,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222175",1420649.573457,540,385,0,0,0,0,0,0,0,0,15,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,71,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"$100,000 - $149,999"
"20221010222209",6309508.743775,625,130,0,0,0,0,0,0,0,0,75,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1440,0,1440,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"$49,000 - $74,999"
"20221010222217",12853094.603471,375,70,0,42,0,0,15,0,0,0,150,643,55,0,0,0,0,17,0,0,0,0,13,0,0,0,15,0,0,0,0,0,0,30,0,1,14,1380,60,1440,69,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,"$25,000 - $49,999"
